Speech Event	T>10	Av. T	NN>10	Av. NN	ADJ>10	Av. ADJ
FOLK_E_00106_SE_01	32	4,18	15	6,39	5	6,45	
FOLK_E_00107_SE_01	5	3,97	3	6,19	1	6,00	
FOLK_E_00108_SE_01	32	4,14	13	6,59	11	7,33	
FOLK_E_00109_SE_01	23	4,08	7	6,16	1	6,48	
FOLK_E_00110_SE_01	71	4,14	44	6,97	13	6,61	
FOLK_E_00111_SE_01	107	4,53	40	7,22	29	7,64	
FOLK_E_00112_SE_01	59	4,24	34	6,55	6	6,36	
FOLK_E_00113_SE_01	42	4,33	14	5,96	5	6,70	
FOLK_E_00114_SE_01	245	4,19	126	6,49	30	6,74	
FOLK_E_00115_SE_01	155	4,37	54	6,74	35	7,26	
FOLK_E_00116_SE_01	12	4,37	5	6,05	1	6,64	
FOLK_E_00117_SE_01	133	4,36	57	6,79	25	7,39	
FOLK_E_00118_SE_01	191	4,32	91	7,23	31	7,20	
FOLK_E_00119_SE_01	184	4,15	84	6,86	18	6,25	
FOLK_E_00120_SE_01	171	4,46	61	7,00	35	7,51	
FOLK_E_00121_SE_01	483	4,52	241	7,47	102	7,69	
FOLK_E_00123_SE_01	268	5,33	188	10,03	27	8,92	
FOLK_E_00124_SE_01	264	4,63	107	6,82	74	7,56	
FOLK_E_00125_SE_01	547	4,91	284	7,88	114	8,41	
FOLK_E_00126_SE_01	1532	5,54	883	9,01	307	9,10	
FOLK_E_00127_SE_01	149	4,52	70	6,99	34	7,77	
FOLK_E_00128_SE_01	834	4,80	466	8,30	74	7,64	
FOLK_E_00129_SE_01	259	4,10	133	7,20	44	7,07	
FOLK_E_00130_SE_01	342	4,54	179	7,92	67	8,37	
FOLK_E_00132_SE_01	1548	4,27	696	7,06	307	6,93	
FOLK_E_00133_SE_01	50	3,90	24	5,97	2	5,38	
FOLK_E_00134_SE_01	113	4,26	60	7,70	9	6,54	
FOLK_E_00135_SE_01	66	4,50	33	7,64	2	5,70	
FOLK_E_00136_SE_01	48	4,14	16	6,45	6	6,47	
FOLK_E_00137_SE_01	16	4,23	3	6,31	1	6,85	
FOLK_E_00138_SE_01	64	4,18	26	6,95	3	6,18	
FOLK_E_00139_SE_01	22	3,96	11	6,51	1	6,81	
FOLK_E_00140_SE_01	60	4,09	13	6,28	13	6,98	
FOLK_E_00141_SE_01	26	4,09	8	6,70	2	6,20	
FOLK_E_00142_SE_01	51	4,29	18	7,03	4	5,66	
FOLK_E_00143_SE_01	511	3,71	278	6,43	54	6,16	
FOLK_E_00144_SE_01	232	4,31	120	8,23	32	6,84	
FOLK_E_00146_SE_01	201	4,50	98	7,29	32	6,92	
FOLK_E_00147_SE_01	369	3,98	174	6,81	30	6,39	
FOLK_E_00148_SE_01	353	4,03	183	7,78	57	7,54	
FOLK_E_00150_SE_01	116	4,63	75	8,62	16	7,43	
FOLK_E_00151_SE_01	18	3,76	8	6,04	2	5,64	
FOLK_E_00152_SE_01	290	4,18	137	6,62	32	6,99	
FOLK_E_00153_SE_01	2	4,21	1	7,57	0	4,00	
FOLK_E_00154_SE_01	0	4,05	0	5,67	0	4,00	
FOLK_E_00155_SE_01	1	3,94	1	7,14	0	4,00	
FOLK_E_00156_SE_01	41	4,18	19	7,12	7	7,56	
FOLK_E_00157_SE_01	119	3,98	87	6,32	1	5,93	
FOLK_E_00158_SE_01	13	4,61	5	6,58	3	9,10	
FOLK_E_00159_SE_01	2	4,17	0	4,50	1	8,00	
FOLK_E_00160_SE_01	176	4,28	98	7,33	13	6,98	
FOLK_E_00161_SE_01	451	4,03	253	6,64	50	6,34	
FOLK_E_00162_SE_01	447	4,60	258	6,85	61	6,96	
FOLK_E_00163_SE_01	313	4,80	181	8,27	50	7,86	
FOLK_E_00165_SE_01	336	4,32	175	6,66	58	6,79	
FOLK_E_00166_SE_01	294	4,56	134	7,37	67	7,89	
FOLK_E_00167_SE_01	127	4,23	67	6,89	14	6,90	
FOLK_E_00168_SE_01	195	4,33	89	6,98	23	6,76	
FOLK_E_00169_SE_01	147	4,25	76	7,21	17	6,73	
FOLK_E_00171_SE_01	145	4,34	69	6,76	24	6,98	
FOLK_E_00172_SE_01	100	4,36	59	6,90	18	6,72	
FOLK_E_00173_SE_01	747	4,37	384	7,59	128	7,36	
FOLK_E_00174_SE_01	899	4,58	537	8,39	138	7,78	
FOLK_E_00175_SE_01	139	3,98	95	6,90	4	5,54	
FOLK_E_00176_SE_01	210	4,13	110	7,08	32	7,51	
FOLK_E_00177_SE_01	219	4,25	112	7,38	22	7,27	
FOLK_E_00178_SE_01	278	4,24	150	7,83	55	7,81	
FOLK_E_00179_SE_01	331	4,26	171	7,80	53	7,58	
FOLK_E_00180_SE_01	193	4,37	95	7,65	40	8,24	
FOLK_E_00181_SE_01	371	4,36	189	8,00	52	7,37	
FOLK_E_00182_SE_01	368	4,27	131	7,13	78	7,86	
FOLK_E_00183_SE_01	201	3,97	105	7,80	31	7,34	
FOLK_E_00184_SE_01	320	4,15	137	7,53	55	8,04	
FOLK_E_00185_SE_01	252	4,31	138	7,68	36	7,44	
FOLK_E_00186_SE_01	279	4,47	162	7,79	50	7,94	
FOLK_E_00187_SE_01	347	4,28	189	7,58	55	7,46	
FOLK_E_00188_SE_01	25	3,92	9	6,22	1	5,97	
FOLK_E_00189_SE_01	94	4,26	44	6,85	23	7,30	
FOLK_E_00190_SE_01	219	4,62	128	8,82	26	7,76	
FOLK_E_00191_SE_01	441	4,36	239	7,43	64	7,31	
FOLK_E_00193_SE_01	171	4,08	68	6,37	37	7,01	
FOLK_E_00194_SE_01	100	4,21	41	6,94	15	6,70	
FOLK_E_00197_SE_01	102	4,13	58	7,18	21	6,94	
FOLK_E_00198_SE_01	73	4,30	29	7,11	22	7,45	
FOLK_E_00201_SE_01	611	4,16	322	7,19	62	6,79	
FOLK_E_00202_SE_01	341	4,01	174	6,75	33	6,21	
FOLK_E_00203_SE_01	212	4,10	100	6,29	32	6,15	
FOLK_E_00204_SE_01	348	4,20	171	6,56	58	6,84	
FOLK_E_00206_SE_01	798	4,73	412	7,89	180	8,74	
FOLK_E_00207_SE_01	148	4,34	79	7,05	25	7,20	
FOLK_E_00208_SE_01	211	4,33	113	7,32	42	7,00	
FOLK_E_00209_SE_01	80	4,31	38	6,90	13	6,45	
FOLK_E_00210_SE_01	1420	5,25	725	8,24	369	9,33	
FOLK_E_00211_SE_01	21	4,13	8	6,63	4	7,02	
FOLK_E_00212_SE_01	3	4,07	0	5,71	0	7,13	
FOLK_E_00213_SE_01	119	4,17	60	7,64	33	7,39	
FOLK_E_00214_SE_01	16	4,16	11	7,88	2	7,41	
FOLK_E_00215_SE_01	46	4,40	33	8,09	3	6,97	
FOLK_E_00216_SE_01	38	4,54	17	7,86	9	8,13	
FOLK_E_00217_SE_01	325	3,99	115	6,15	58	6,08	
FOLK_E_00218_SE_01	91	4,03	38	6,43	9	6,02	
FOLK_E_00219_SE_01	101	4,38	53	6,76	11	6,45	
FOLK_E_00220_SE_01	419	4,27	148	6,94	102	6,87	
FOLK_E_00221_SE_01	109	4,42	52	6,58	10	6,46	
FOLK_E_00223_SE_01	6	4,51	3	6,64	1	6,89	
FOLK_E_00224_SE_01	64	4,54	33	8,48	11	7,88	
FOLK_E_00225_SE_01	195	4,16	100	6,86	22	6,14	
FOLK_E_00226_SE_01	242	4,33	103	7,01	54	7,94	
FOLK_E_00227_SE_01	187	4,14	117	7,09	24	6,72	
FOLK_E_00228_SE_01	233	4,11	136	6,74	19	6,22	
FOLK_E_00229_SE_01	2	4,33	2	7,93	0	5,38	
FOLK_E_00230_SE_01	2	4,30	0	5,78	0	6,75	
FOLK_E_00231_SE_01	11	4,20	4	6,95	1	5,56	
FOLK_E_00235_SE_01	17	4,49	8	7,20	4	7,89	
FOLK_E_00237_SE_01	9	4,67	2	7,58	1	7,67	
FOLK_E_00238_SE_01	7	4,10	4	7,24	1	6,11	
FOLK_E_00239_SE_01	3	4,32	2	6,75	0	5,67	
FOLK_E_00243_SE_01	52	4,22	20	6,73	9	6,40	
FOLK_E_00246_SE_01	34	4,14	13	7,18	10	6,85	
FOLK_E_00248_SE_01	505	4,65	276	8,69	75	7,96	
FOLK_E_00250_SE_01	487	4,65	229	8,25	109	8,54	
FOLK_E_00251_SE_01	111	4,14	48	6,58	15	6,97	
FOLK_E_00252_SE_01	104	4,04	52	6,55	11	5,88	
FOLK_E_00253_SE_01	158	3,99	82	7,22	23	6,49	
FOLK_E_00254_SE_01	547	4,23	262	7,22	75	6,96	
FOLK_E_00255_SE_01	351	4,04	177	6,81	46	6,53	
FOLK_E_00256_SE_01	266	4,22	185	6,93	11	6,50	
FOLK_E_00257_SE_01	167	4,20	74	7,05	21	6,59	
FOLK_E_00258_SE_01	388	4,57	236	7,72	28	7,09	
FOLK_E_00259_SE_01	26	3,85	12	6,38	1	5,45	
FOLK_E_00260_SE_01	214	4,20	96	6,76	29	6,48	
FOLK_E_00261_SE_01	229	4,09	103	6,81	39	7,61	
FOLK_E_00262_SE_01	73	4,47	40	6,67	7	6,73	
FOLK_E_00263_SE_01	145	4,43	86	6,53	17	6,92	
FOLK_E_00264_SE_01	16	4,00	4	6,00	5	6,66	
FOLK_E_00265_SE_01	172	4,07	45	6,15	42	6,50	
FOLK_E_00266_SE_01	417	4,21	159	6,28	87	6,51	
FOLK_E_00267_SE_01	776	4,15	339	6,78	119	6,64	
FOLK_E_00268_SE_01	138	4,10	61	6,32	22	6,47	
FOLK_E_00269_SE_01	135	4,19	46	6,64	18	6,44	
FOLK_E_00270_SE_01	44	4,04	18	6,08	2	6,35	
FOLK_E_00271_SE_01	243	4,19	84	6,74	36	6,89	
FOLK_E_00272_SE_01	137	4,35	64	7,33	14	6,86	
FOLK_E_00273_SE_01	803	4,23	395	6,80	135	6,68	
FOLK_E_00274_SE_01	238	4,22	97	7,16	52	7,74	
FOLK_E_00285_SE_01	283	3,98	104	6,28	45	5,90	
FOLK_E_00286_SE_01	68	4,06	32	6,29	13	6,81	
FOLK_E_00287_SE_01	467	4,12	178	6,56	93	6,59	
FOLK_E_00288_SE_01	505	4,39	269	6,89	64	6,78	
FOLK_E_00289_SE_01	39	4,12	7	6,13	11	6,73	
FOLK_E_00290_SE_01	296	4,14	87	6,02	52	6,32	
FOLK_E_00291_SE_01	203	3,96	109	6,63	14	6,18	
FOLK_E_00292_SE_01	180	4,47	106	9,38	29	8,03	
FOLK_E_00293_SE_01	528	4,07	207	6,53	70	6,41	
FOLK_E_00294_SE_01	133	3,82	67	6,47	28	6,24	
FOLK_E_00295_SE_01	162	4,24	77	6,71	24	6,30	
FOLK_E_00296_SE_01	228	4,25	120	6,51	30	6,32	
FOLK_E_00298_SE_01	11	4,14	6	6,83	2	6,37	
FOLK_E_00299_SE_01	30	4,07	13	7,37	1	6,13	
FOLK_E_00300_SE_01	156	4,08	77	6,62	22	6,01	
FOLK_E_00301_SE_01	229	4,25	84	6,62	25	6,34	
FOLK_E_00302_SE_01	38	4,45	20	8,15	2	6,74	
FOLK_E_00303_SE_01	388	4,30	204	7,85	39	6,93	
FOLK_E_00304_SE_01	16	4,21	9	8,13	0	4,50	
FOLK_E_00305_SE_01	16	4,69	8	9,48	2	7,29	
FOLK_E_00308_SE_01	201	4,00	79	5,80	36	6,54	
FOLK_E_00309_SE_01	101	3,98	64	6,16	5	5,70	
FOLK_E_00313_SE_01	493	4,59	243	7,33	72	7,24	
FOLK_E_00318_SE_01	65	3,94	34	6,63	9	6,10	
FOLK_E_00319_SE_01	173	3,95	82	6,61	32	6,38	
FOLK_E_00321_SE_01	265	4,15	124	6,70	32	6,04	
FOLK_E_00322_SE_01	168	4,03	79	6,58	21	6,28	
FOLK_E_00323_SE_01	28	4,38	10	7,22	7	7,76	
FOLK_E_00324_SE_01	30	4,46	9	6,92	3	7,31	
FOLK_E_00325_SE_01	840	4,05	420	7,21	85	6,78	
FOLK_E_00327_SE_01	143	4,18	76	6,67	17	6,38	
FOLK_E_00329_SE_01	609	4,20	327	7,03	80	6,35	
FOLK_E_00330_SE_01	844	4,38	418	6,80	151	7,25	
FOLK_E_00331_SE_01	255	4,16	109	6,53	40	6,17	
FOLK_E_00332_SE_01	52	4,28	29	7,33	4	5,91	
FOLK_E_00333_SE_01	92	4,15	46	6,77	2	5,74	
FOLK_E_00334_SE_01	27	3,86	9	4,83	3	6,49	
FOLK_E_00335_SE_01	188	4,14	111	6,49	26	6,49	
FOLK_E_00337_SE_01	529	4,93	305	7,87	72	7,74	
FOLK_E_00338_SE_01	691	5,09	403	8,19	108	8,39	
FOLK_E_00339_SE_01	666	4,21	331	7,56	103	7,54	
FOLK_E_00340_SE_01	582	4,11	276	6,88	73	6,94	
FOLK_E_00342_SE_01	184	3,93	107	6,43	15	6,01	
FOLK_E_00343_SE_01	121	4,24	63	6,93	17	6,25	
FOLK_E_00344_SE_01	259	4,33	149	7,27	21	6,07	
FOLK_E_00345_SE_01	10	4,21	8	6,15	1	5,21	
FOLK_E_00346_SE_01	583	3,96	297	7,21	76	6,58	
FOLK_E_00347_SE_01	271	4,27	153	7,40	38	6,78	
FOLK_E_00348_SE_01	601	4,34	292	7,15	73	7,04	
FOLK_E_00349_SE_01	402	4,36	196	7,37	54	6,56	
FOLK_E_00350_SE_01	348	4,29	164	7,11	43	6,70	
FOLK_E_00351_SE_01	500	4,49	259	7,80	84	7,57	
FOLK_E_00352_SE_01	176	4,35	75	7,48	18	6,28	
FOLK_E_00353_SE_01	129	4,01	66	6,81	26	6,36	
FOLK_E_00354_SE_01	184	4,29	98	7,09	13	6,68	
FOLK_E_00355_SE_01	198	4,25	95	6,46	20	6,38	
FOLK_E_00356_SE_01	162	4,41	94	6,75	13	6,43	
FOLK_E_00357_SE_01	158	3,91	65	6,24	20	6,68	
FOLK_E_00359_SE_01	80	4,04	42	7,00	11	6,51	
FOLK_E_00360_SE_01	35	4,12	20	6,01	3	5,35	
FOLK_E_00361_SE_01	1121	5,32	615	9,10	264	9,43	
FOLK_E_00362_SE_01	34	4,75	21	8,86	7	7,07	
FOLK_E_00363_SE_01	54	4,72	31	8,15	12	9,79	
FOLK_E_00364_SE_01	63	4,52	46	8,66	4	7,56	
FOLK_E_00365_SE_01	125	4,58	77	8,45	14	7,39	
FOLK_E_00366_SE_01	3	4,22	0	5,63	0	6,00	
FOLK_E_00367_SE_01	3	4,68	0	5,00	0	5,33	
FOLK_E_00368_SE_01	17	4,65	9	7,84	4	8,75	
FOLK_E_00370_SE_01	379	4,13	227	6,76	53	6,07	
FOLK_E_00371_SE_01	73	4,39	31	7,40	8	6,61	
