Speech Event	T>10	Av. T	NN>10	Av. NN	ADJ>10	Av. ADJ
GWSS_E_00073_SE_01	112	4,30	47	7,41	24	7,70	
GWSS_E_00074_SE_01	100	4,40	28	7,19	38	8,76	
GWSS_E_00075_SE_01	260	4,83	106	8,32	72	8,70	
GWSS_E_00076_SE_01	498	4,65	205	7,74	164	8,68	
GWSS_E_00077_SE_01	187	4,87	65	8,07	52	8,70	
GWSS_E_00078_SE_01	124	4,46	49	7,36	24	7,93	
GWSS_E_00079_SE_01	232	4,80	111	8,87	55	8,73	
GWSS_E_00080_SE_01	565	4,89	299	8,88	157	8,95	
GWSS_E_00081_SE_01	318	4,43	114	7,34	116	7,79	
GWSS_E_00082_SE_01	207	4,38	141	7,87	50	7,99	
GWSS_E_00083_SE_01	103	4,41	48	8,03	28	8,37	
GWSS_E_00084_SE_01	317	4,73	131	8,02	131	9,59	
GWSS_E_00085_SE_01	43	4,83	9	7,76	21	10,18	
GWSS_E_00086_SE_01	31	4,74	17	8,41	8	8,74	
GWSS_E_00087_SE_01	43	4,65	22	7,87	11	9,51	
GWSS_E_00088_SE_01	25	4,22	4	6,64	11	8,58	
GWSS_E_00089_SE_01	66	4,61	32	7,78	21	10,20	
GWSS_E_00090_SE_01	49	4,42	18	7,73	20	9,22	
GWSS_E_00091_SE_01	32	4,09	10	6,63	13	9,70	
GWSS_E_00092_SE_01	34	4,64	15	7,57	10	8,12	
GWSS_E_00093_SE_01	35	4,44	23	8,09	7	9,27	
GWSS_E_00094_SE_01	41	4,71	22	7,76	10	8,30	
GWSS_E_00095_SE_01	51	4,41	12	7,52	27	9,39	
GWSS_E_00096_SE_01	26	4,81	12	7,86	11	11,03	
GWSS_E_00097_SE_01	33	4,45	15	7,21	11	8,85	
GWSS_E_00098_SE_01	35	4,49	21	7,46	9	7,41	
GWSS_E_00099_SE_01	31	4,33	19	7,65	6	7,67	
GWSS_E_00100_SE_01	22	4,31	10	7,60	4	7,17	
GWSS_E_00101_SE_01	31	4,36	18	6,57	7	6,31	
GWSS_E_00102_SE_01	68	4,69	35	8,31	21	9,82	
GWSS_E_00103_SE_01	39	4,89	11	6,89	17	9,47	
GWSS_E_00104_SE_01	34	4,38	21	8,03	7	8,04	
GWSS_E_00105_SE_01	31	4,63	22	8,07	4	8,67	
GWSS_E_00106_SE_01	41	4,54	16	8,06	14	7,52	
GWSS_E_00107_SE_01	52	4,44	25	7,95	17	10,09	
GWSS_E_00108_SE_01	19	4,79	7	8,05	6	7,28	
GWSS_E_00109_SE_01	35	4,73	20	8,64	9	9,08	
GWSS_E_00110_SE_01	29	4,41	8	7,46	17	9,55	
GWSS_E_00111_SE_01	37	4,48	16	8,08	13	8,59	
GWSS_E_00112_SE_01	24	4,29	13	8,25	4	9,00	
GWSS_E_00113_SE_01	35	4,58	18	7,80	1	7,76	
GWSS_E_00114_SE_01	40	4,82	12	8,27	19	10,77	
GWSS_E_00115_SE_01	50	4,33	32	8,16	17	8,22	
GWSS_E_00116_SE_01	20	4,16	7	6,74	5	7,43	
GWSS_E_00117_SE_01	23	4,88	7	8,51	11	9,23	
GWSS_E_00118_SE_01	62	4,60	36	8,38	11	8,52	
GWSS_E_00119_SE_01	20	4,18	4	7,23	5	7,61	
GWSS_E_00120_SE_01	69	4,64	33	8,48	17	8,98	
GWSS_E_00121_SE_01	26	4,54	15	8,11	7	10,33	
GWSS_E_00122_SE_01	43	4,60	13	7,73	11	9,02	
GWSS_E_00123_SE_01	14	4,34	12	8,64	2	7,50	
GWSS_E_00124_SE_01	37	4,44	17	7,81	12	8,87	
GWSS_E_00125_SE_01	37	4,43	17	7,70	14	10,39	
GWSS_E_00126_SE_01	49	4,63	27	8,11	13	8,78	
GWSS_E_00127_SE_01	29	4,17	14	7,15	8	8,03	
GWSS_E_00128_SE_01	8	4,87	3	7,10	2	9,43	
GWSS_E_00129_SE_01	18	4,19	4	6,16	8	8,05	
GWSS_E_00130_SE_01	12	3,89	2	6,39	5	7,00	
GWSS_E_00131_SE_01	30	4,95	18	9,30	9	9,36	
GWSS_E_00132_SE_01	9	4,05	3	6,63	1	5,86	
GWSS_E_00133_SE_01	15	4,36	7	7,08	2	8,00	
GWSS_E_00134_SE_01	30	4,74	17	8,20	4	9,31	
GWSS_E_00135_SE_01	41	4,67	23	8,10	12	9,20	
GWSS_E_00136_SE_01	29	4,20	16	7,78	6	7,42	
GWSS_E_00137_SE_01	35	4,71	11	8,11	14	9,59	
GWSS_E_00138_SE_01	18	4,28	8	8,14	3	9,37	
GWSS_E_00139_SE_01	43	4,22	8	6,96	24	8,89	
GWSS_E_00140_SE_01	16	4,32	10	7,62	3	8,00	
GWSS_E_00141_SE_01	24	4,27	17	8,47	1	7,00	
GWSS_E_00142_SE_01	32	4,80	17	8,81	9	8,58	
GWSS_E_00143_SE_01	54	4,48	37	8,02	7	7,78	
GWSS_E_00144_SE_01	173	4,83	84	8,31	67	9,63	
GWSS_E_00145_SE_01	220	4,90	108	8,55	79	8,87	
GWSS_E_00146_SE_01	260	4,85	126	8,03	93	9,00	
GWSS_E_00147_SE_01	167	4,91	71	8,55	46	8,15	
GWSS_E_00148_SE_01	249	4,61	119	7,53	75	8,25	
GWSS_E_00149_SE_01	251	4,75	119	7,98	76	8,73	
GWSS_E_00150_SE_01	170	4,43	68	6,77	40	6,88	
GWSS_E_00151_SE_01	162	4,63	66	6,76	50	7,04	
GWSS_E_00152_SE_01	180	4,34	62	6,90	48	7,04	
GWSS_E_00153_SE_01	165	4,44	64	6,95	41	6,49	
GWSS_E_00154_SE_01	390	6,06	192	9,90	97	9,67	
GWSS_E_00155_SE_01	358	5,44	228	9,61	80	10,01	
GWSS_E_00156_SE_01	419	5,87	248	10,41	102	10,37	
GWSS_E_00157_SE_01	514	5,41	337	9,06	123	9,50	
GWSS_E_00158_SE_01	218	4,93	119	7,86	53	9,34	
GWSS_E_00159_SE_01	222	5,76	117	9,00	65	10,05	
GWSS_E_00160_SE_01	475	5,71	231	9,69	165	10,76	
GWSS_E_00161_SE_01	442	5,67	216	8,82	137	10,40	
GWSS_E_00162_SE_01	290	5,13	146	8,19	104	7,18	
GWSS_E_00163_SE_01	579	5,06	367	9,19	112	8,77	
GWSS_E_00164_SE_01	310	4,89	182	8,05	66	8,54	
GWSS_E_00165_SE_01	297	4,73	174	8,63	65	9,15	
GWSS_E_00166_SE_01	330	5,18	181	9,00	96	9,22	
GWSS_E_00167_SE_01	292	6,45	120	8,68	125	11,00	
GWSS_E_00168_SE_01	290	5,95	139	9,03	93	10,05	
GWSS_E_00169_SE_01	195	5,71	95	8,24	33	9,06	
GWSS_E_00170_SE_01	150	5,65	69	8,03	29	8,88	
GWSS_E_00171_SE_01	300	5,88	151	8,05	68	9,04	
GWSS_E_00172_SE_01	109	5,19	48	8,15	16	9,02	
GWSS_E_00173_SE_01	91	5,37	48	7,85	19	9,61	
GWSS_E_00174_SE_01	118	6,61	53	8,78	25	10,57	
GWSS_E_00175_SE_01	353	5,13	184	8,12	74	8,01	
GWSS_E_00176_SE_01	227	5,03	149	8,41	46	8,52	
GWSS_E_00177_SE_01	504	5,30	278	8,76	136	9,15	
GWSS_E_00178_SE_01	159	4,85	75	8,11	25	7,83	
GWSS_E_00179_SE_01	140	4,47	91	7,49	29	7,45	
GWSS_E_00180_SE_01	182	4,79	115	7,81	38	8,50	
GWSS_E_00181_SE_01	180	4,96	115	8,49	41	8,72	
GWSS_E_00182_SE_01	242	4,86	127	8,82	79	9,64	
GWSS_E_00183_SE_01	92	4,47	49	7,59	19	7,83	
GWSS_E_00184_SE_01	218	4,84	135	8,51	51	8,76	
GWSS_E_00185_SE_01	163	4,83	89	7,17	49	9,03	
GWSS_E_00186_SE_01	158	5,08	100	8,79	28	8,88	
GWSS_E_00187_SE_01	186	5,06	79	7,74	59	9,80	
GWSS_E_00188_SE_01	289	4,95	167	8,67	81	9,05	
GWSS_E_00189_SE_01	207	4,62	103	7,54	65	8,84	
GWSS_E_00190_SE_01	217	4,52	127	8,11	49	8,50	
GWSS_E_00191_SE_01	192	4,60	118	8,36	33	7,54	
GWSS_E_00192_SE_01	246	4,43	71	8,00	94	10,05	
GWSS_E_00193_SE_01	219	4,54	122	8,53	54	8,68	
GWSS_E_00194_SE_01	193	5,04	110	8,25	42	9,22	
GWSS_E_00195_SE_01	187	4,93	102	8,34	41	8,91	
GWSS_E_00196_SE_01	148	4,65	67	7,67	44	8,64	
GWSS_E_00197_SE_01	170	4,40	77	7,44	42	8,32	
GWSS_E_00198_SE_01	182	4,62	115	8,96	39	8,41	
GWSS_E_00199_SE_01	163	4,41	87	6,68	42	8,05	
GWSS_E_00200_SE_01	226	4,51	131	8,57	50	8,96	
GWSS_E_00201_SE_01	210	4,76	126	8,84	31	7,97	
GWSS_E_00202_SE_01	122	4,52	65	7,86	27	7,71	
GWSS_E_00203_SE_01	147	4,75	88	8,02	32	8,35	
GWSS_E_00204_SE_01	194	4,67	94	7,65	43	8,11	
GWSS_E_00205_SE_01	213	4,73	120	7,83	51	8,07	
GWSS_E_00206_SE_01	145	4,53	63	7,74	45	8,18	
GWSS_E_00207_SE_01	170	4,79	98	7,97	35	8,22	
GWSS_E_00208_SE_01	64	4,73	42	9,06	10	8,79	
GWSS_E_00209_SE_01	123	4,67	85	7,99	12	7,92	
GWSS_E_00210_SE_01	52	4,91	34	8,28	10	7,63	
GWSS_E_00211_SE_01	103	4,48	49	7,92	35	8,38	
GWSS_E_00212_SE_01	202	4,49	102	7,26	25	7,39	
GWSS_E_00213_SE_01	104	4,90	52	8,72	35	9,38	
GWSS_E_00214_SE_01	58	4,89	26	7,29	5	7,71	
GWSS_E_00215_SE_01	100	6,01	54	9,39	24	9,65	
GWSS_E_00216_SE_01	64	4,62	35	7,95	14	8,59	
GWSS_E_00217_SE_01	102	4,93	55	8,67	10	7,70	
GWSS_E_00218_SE_01	74	5,15	33	7,53	22	8,68	
GWSS_E_00219_SE_01	51	4,94	22	6,98	11	7,49	
GWSS_E_00220_SE_01	144	5,33	80	9,21	33	9,79	
GWSS_E_00221_SE_01	49	4,67	28	7,74	10	9,18	
GWSS_E_00222_SE_01	48	4,95	37	7,82	4	6,96	
GWSS_E_00223_SE_01	40	4,66	18	7,02	6	8,38	
GWSS_E_00224_SE_01	49	5,12	24	8,88	15	10,76	
GWSS_E_00225_SE_01	239	4,94	146	8,08	38	8,22	
GWSS_E_00226_SE_01	242	5,22	147	8,35	33	7,76	
GWSS_E_00227_SE_01	186	4,77	122	8,00	29	7,43	
GWSS_E_00228_SE_01	215	4,73	138	7,94	39	8,61	
GWSS_E_00229_SE_01	260	4,78	173	8,01	32	7,50	
GWSS_E_00230_SE_01	394	4,89	183	8,73	122	9,52	
GWSS_E_00231_SE_01	521	5,48	239	8,57	178	10,13	
GWSS_E_00232_SE_01	404	5,25	193	8,76	120	9,14	
GWSS_E_00233_SE_01	279	5,67	129	7,46	99	10,19	
GWSS_E_00234_SE_01	485	6,09	263	8,72	148	10,30	
GWSS_E_00235_SE_01	273	4,63	140	8,16	65	8,32	
GWSS_E_00236_SE_01	455	5,14	221	7,53	128	9,39	
GWSS_E_00237_SE_01	415	5,08	176	7,57	103	8,59	
GWSS_E_00238_SE_01	304	5,20	127	7,41	105	9,12	
GWSS_E_00239_SE_01	337	5,41	188	8,69	85	9,78	
GWSS_E_00240_SE_01	284	5,40	171	8,88	75	10,14	
GWSS_E_00241_SE_01	242	4,91	130	8,84	58	9,11	
GWSS_E_00242_SE_01	282	4,88	152	8,04	62	7,98	
GWSS_E_00243_SE_01	195	4,63	106	8,62	60	10,08	
GWSS_E_00244_SE_01	382	5,20	254	9,75	82	9,45	
GWSS_E_00245_SE_01	294	5,17	166	9,08	86	9,55	
GWSS_E_00246_SE_01	412	4,93	229	8,13	98	8,72	
GWSS_E_00247_SE_01	337	5,07	181	9,01	110	10,83	
GWSS_E_00248_SE_01	378	5,06	197	9,02	118	10,22	
GWSS_E_00300_SE_01	137	6,22	87	10,28	33	11,08	
GWSS_E_00300_SE_02	47	4,81	18	7,12	10	7,74	
GWSS_E_00301_SE_01	73	5,13	48	9,29	21	10,07	
GWSS_E_00301_SE_02	25	4,53	11	7,48	10	7,54	
GWSS_E_00302_SE_01	105	5,39	69	8,90	28	9,03	
GWSS_E_00302_SE_02	19	4,51	9	7,40	5	6,70	
GWSS_E_00303_SE_01	83	5,63	49	9,93	23	10,87	
GWSS_E_00303_SE_02	16	4,57	7	7,58	9	9,04	
GWSS_E_00304_SE_01	76	5,12	51	9,00	17	8,95	
GWSS_E_00304_SE_02	85	4,66	46	7,06	23	7,23	
GWSS_E_00305_SE_01	38	4,82	19	8,12	16	9,31	
GWSS_E_00305_SE_02	4	4,27	1	6,74	0	5,00	
GWSS_E_00306_SE_01	71	5,42	41	8,28	17	9,49	
GWSS_E_00306_SE_02	60	4,58	26	8,10	25	7,61	
GWSS_E_00307_SE_01	55	5,29	28	8,28	12	8,80	
GWSS_E_00307_SE_02	39	4,79	24	7,98	4	7,00	
GWSS_E_00308_SE_01	50	5,53	32	8,96	15	8,91	
GWSS_E_00308_SE_02	56	4,33	31	7,03	14	6,62	
GWSS_E_00309_SE_01	77	5,74	44	8,83	26	10,90	
GWSS_E_00309_SE_02	62	4,31	30	7,14	21	7,27	
GWSS_E_00310_SE_01	43	4,82	26	7,37	7	6,96	
GWSS_E_00310_SE_02	25	4,56	11	7,76	7	7,51	
GWSS_E_00311_SE_01	97	5,07	63	8,81	20	9,10	
GWSS_E_00311_SE_02	8	4,20	4	7,00	4	7,76	
GWSS_E_00312_SE_01	39	4,79	21	7,84	13	9,18	
GWSS_E_00312_SE_02	35	4,32	11	7,09	21	8,43	
GWSS_E_00313_SE_01	74	5,99	53	9,53	14	9,03	
GWSS_E_00313_SE_02	40	4,82	22	7,57	2	7,15	
GWSS_E_00314_SE_01	36	4,78	24	7,30	7	7,94	
GWSS_E_00314_SE_02	25	4,57	18	7,45	4	6,08	
GWSS_E_00315_SE_01	69	5,64	44	9,52	16	9,84	
GWSS_E_00315_SE_02	29	4,38	11	6,48	13	6,89	
GWSS_E_00316_SE_01	65	5,42	41	8,68	15	9,42	
GWSS_E_00316_SE_02	38	4,92	21	7,98	10	8,09	
GWSS_E_00317_SE_01	94	5,60	59	8,34	24	10,14	
GWSS_E_00317_SE_02	17	4,40	13	7,63	2	7,52	
GWSS_E_00318_SE_01	36	5,14	19	7,31	13	11,04	
GWSS_E_00318_SE_02	42	4,41	23	7,25	10	7,22	
